OBJECTID,gridcode,DNR12DIG,Shape_Leng,Shape_Area,Acres,Land_Use,pollution,total_N,total_P,total_S
1,1,21402050808,142674.773634,553058.290007,136.663679726,1,122585.95407742474,2090.9542998078,230.96161873693998,120264.03815888
2,1,21402050811,131332.59245,457887.967533,113.146580886,1,101491.35158893313,1731.1426875558,191.21772169733998,99568.99117968
3,1,21402050814,85184.9043691,349406.336116,86.340185973,1,77446.28341592128,1321.0048453869001,145.91491429437,75979.36365624
4,1,21402050815,195314.624017,806134.902224,199.200272528,1,178680.65245489072,3047.7641696784003,336.64846057232,175296.23982464
5,1,21402050816,416478.2974,2083683.61694,514.889435022,1,461850.6743203838,7877.808355836601,870.16314518718,453102.70281936
6,1,21402050818,394294.744015,1476280.38011,364.796826479,1,327219.10538339824,5581.3914451287,616.50663674951,321021.20730152
7,1,21402050821,80499.5387384,321014.802988,79.3244853489,1,71153.27011310981,1213.66462583817,134.058380239641,69805.547107032
8,1,21402050822,1031204.68021,4160186.17479,1028.0043917,1,922109.659310983,15728.467193010001,1737.3274219730001,904643.864696
9,1,21402050823,245823.904936,861054.300948,212.7711515,1,190853.59518398502,3255.3986179500002,359.583246035,187238.61332
10,1,21402050824,288926.520457,1472442.33767,363.848425539,1,326368.39922422764,5566.8809107467005,614.90383916091,320186.61447432
11,1,21402050825,199832.327128,958768.611072,236.916883378,1,212512.07522123223,3624.8283156834,400.38953290882,208486.85737264
12,1,21402050826,117472.258519,543285.096998,134.248671139,1,120419.71552497162,2054.0046684267004,226.88025422491,118138.83060232001
13,2,21402050808,377433.263853,1479877.98079,365.685812967,2,328016.51737326937,5594.9929383951,618.0090239142299,321803.51541096
14,2,21402050809,5.91764968947,0.886181509857,0.000218980220042,2,0.19642306757547356,0.0033503973666426,0.00037007657187098,0.19270259363696
15,2,21402050811,464184.026165,1095850.71101,270.790607975,2,242896.46744749526,4143.0963020175,457.63612747775,238295.735018
16,2,21402050814,245547.986486,1068623.62334,264.06264809,2,236861.5547102491,4040.158515777,446.26587527209995,232375.1303192
17,2,21402050815,759854.570327,2482812.74028,613.516389298,2,550318.0660364131,9386.800756259401,1036.84269791362,539894.4225822401
18,2,21402050816,1300993.28845,5930664.62263,1465.49914393,2,1314538.0771137706,22422.136902129,2476.6935532416996,1289639.2466584
19,2,21402050818,1572575.19305,4212087.99468,1040.8296107,2,933613.7525017931,15924.693043710002,1759.002042083,915930.057416
20,2,21402050821,286428.214375,683959.495705,169.010072094,2,151600.34456759706,2585.8541030382003,285.62702183886,148728.86344272
21,2,21402050822,3252295.97546,11114614.8435,2746.48114075,2,2463566.118441343,42021.161453475004,4641.5531278675,2416903.40386
22,2,21402050823,406791.756501,1612455.97946,398.446549902,2,357402.570796595,6096.232213500601,673.37466933438,350632.96391376003
